name,acronym,depth,left_count,volume (mm^3),density (cells/mm^3),right_count
root,root,0.0,3057866.0,250.9855625,12183.433857873795,
Basic cell groups and regions,grey,1.0,2831394.0,224.5929375,12606.781101476086,
Cerebrum,CH,2.0,2179357.0,137.89371875,15804.614015458916,
Cerebral cortex,CTX,3.0,1991062.0,110.753453125,17977.42592958092,
Cortical plate,CTXpl,4.0,1940489.0,106.300359375,18254.773656544847,
Isocortex,Isocortex,5.0,1062722.0,61.627640625,17244.242830365536,
"Frontal pole, cerebral cortex",FRP,6.0,6409.0,0.4861875,13182.157089600203,
"Frontal pole, layer 1",FRP1,7.0,2125.0,0.12675,16765.285996055227,
"Frontal pole, layer 2/3",FRP2/3,7.0,1555.0,0.11703125,13287.049399198931,
"Frontal pole, layer 5",FRP5,7.0,2293.0,0.185796875,12341.43469851148,
"Frontal pole, layer 6a",FRP6a,7.0,433.0,0.05609375,7719.220055710307,
"Frontal pole, layer 6b",FRP6b,7.0,3.0,0.000515625,5818.181818181818,
Somatomotor areas,MO,6.0,126554.0,12.231046875,10346.947509348009,
Primary motor area,MOp,7.0,64920.0,5.676734375,11436.152497447092,
"Primary motor area, Layer 1",MOp1,8.0,2818.0,0.664609375,4240.084636181969,
"Primary motor area, Layer 2/3",MOp2/3,8.0,21163.0,1.8444375,11473.958862796924,
"Primary motor area, Layer 5",MOp5,8.0,23169.0,1.636203125,14160.222313473458,
"Primary motor area, Layer 6a",MOp6a,8.0,17066.0,1.437953125,11868.258918384425,
"Primary motor area, Layer 6b",MOp6b,8.0,704.0,0.09353125,7526.896090878718,
Secondary motor area,MOs,7.0,61634.0,6.5543125,9403.579704202386,
"Secondary motor area, layer 1",MOs1,8.0,4072.0,1.1643125,3497.342852541736,
"Secondary motor area, layer 2/3",MOs2/3,8.0,20571.0,1.901640625,10817.50133519576,
"Secondary motor area, layer 5",MOs5,8.0,23815.0,2.26159375,10530.18474250736,
"Secondary motor area, layer 6a",MOs6a,8.0,12923.0,1.189171875,10867.2264049299,
"Secondary motor area, layer 6b",MOs6b,8.0,253.0,0.03759375,6729.842061512884,
Somatosensory areas,SS,6.0,277890.0,16.666171875,16673.895006257997,
Primary somatosensory area,SSp,7.0,198865.0,12.1535,16362.776155017074,
"Primary somatosensory area, nose",SSp-n,8.0,21518.0,1.509703125,14253.133376802143,
"Primary somatosensory area, nose, layer 1",SSp-n1,9.0,3390.0,0.2028125,16714.946070878275,
"Primary somatosensory area, nose, layer 2/3",SSp-n2/3,9.0,3555.0,0.3201875,11102.86941245364,
"Primary somatosensory area, nose, layer 4",SSp-n4,9.0,3858.0,0.274109375,14074.673659009291,
"Primary somatosensory area, nose, layer 5",SSp-n5,9.0,4749.0,0.283515625,16750.39955910719,
"Primary somatosensory area, nose, layer 6a",SSp-n6a,9.0,5736.0,0.402328125,14257.019690085051,
"Primary somatosensory area, nose, layer 6b",SSp-n6b,9.0,230.0,0.02675,8598.130841121496,
"Primary somatosensory area, barrel field",SSp-bfd,8.0,57616.0,3.145734375,18315.596020404617,
"Primary somatosensory area, barrel field, layer 1",SSp-bfd1,9.0,6920.0,0.419375,16500.745156482863,
"Primary somatosensory area, barrel field, layer 2/3",SSp-bfd2/3,9.0,9030.0,0.75821875,11909.491818818777,
"Primary somatosensory area, barrel field, layer 4",SSp-bfd4,9.0,12936.0,0.641265625,20172.607879924955,
"Primary somatosensory area, barrel field, layer 5",SSp-bfd5,9.0,13891.0,0.603984375,22998.939335144223,
"Primary somatosensory area, barrel field, layer 6a",SSp-bfd6a,9.0,13451.0,0.648828125,20731.22215532812,
"Primary somatosensory area, barrel field, layer 6b",SSp-bfd6b,9.0,1388.0,0.0740625,18740.928270042197,
"Primary somatosensory area, lower limb",SSp-ll,8.0,21369.0,1.176484375,18163.43714722093,
"Primary somatosensory area, lower limb, layer 1",SSp-ll1,9.0,2792.0,0.149265625,18704.909452528,
"Primary somatosensory area, lower limb, layer 2/3",SSp-ll2/3,9.0,4154.0,0.32325,12850.734725444703,
"Primary somatosensory area, lower limb, layer 4",SSp-ll4,9.0,4098.0,0.1366875,29980.79561042524,
"Primary somatosensory area, lower limb, layer 5",SSp-ll5,9.0,6382.0,0.278,22956.834532374098,
"Primary somatosensory area, lower limb, layer 6a",SSp-ll6a,9.0,3605.0,0.263890625,13660.962756823968,
"Primary somatosensory area, lower limb, layer 6b",SSp-ll6b,9.0,338.0,0.025390625,13312.0,
"Primary somatosensory area, mouth",SSp-m,8.0,46128.0,3.105328125,14854.468881609731,
"Primary somatosensory area, mouth, layer 1",SSp-m1,9.0,9075.0,0.3904375,23243.156715223307,
"Primary somatosensory area, mouth, layer 2/3",SSp-m2/3,9.0,7948.0,0.7490625,10610.596579057155,
"Primary somatosensory area, mouth, layer 4",SSp-m4,9.0,7500.0,0.4736875,15833.223380393192,
"Primary somatosensory area, mouth, layer 5",SSp-m5,9.0,8664.0,0.60871875,14233.174187586632,
"Primary somatosensory area, mouth, layer 6a",SSp-m6a,9.0,12510.0,0.82609375,15143.559674673728,
"Primary somatosensory area, mouth, layer 6b",SSp-m6b,9.0,431.0,0.057328125,7518.124829653857,
"Primary somatosensory area, upper limb",SSp-ul,8.0,29558.0,1.88471875,15682.976571438046,
"Primary somatosensory area, upper limb, layer 1",SSp-ul1,9.0,5334.0,0.230640625,23126.88842219362,
"Primary somatosensory area, upper limb, layer 2/3",SSp-ul2/3,9.0,6708.0,0.4891875,13712.533537753929,
"Primary somatosensory area, upper limb, layer 4",SSp-ul4,9.0,5249.0,0.261640625,20061.869214690956,
"Primary somatosensory area, upper limb, layer 5",SSp-ul5,9.0,6085.0,0.395625,15380.726698262242,
"Primary somatosensory area, upper limb, layer 6a",SSp-ul6a,9.0,5898.0,0.470546875,12534.351652000663,
"Primary somatosensory area, upper limb, layer 6b",SSp-ul6b,9.0,284.0,0.037078125,7659.502739148756,
"Primary somatosensory area, trunk",SSp-tr,8.0,14310.0,0.700375,20431.911475995003,
"Primary somatosensory area, trunk, layer 1",SSp-tr1,9.0,1537.0,0.10228125,15027.192178429576,
"Primary somatosensory area, trunk, layer 2/3",SSp-tr2/3,9.0,3320.0,0.21225,15641.931684334511,
"Primary somatosensory area, trunk, layer 4",SSp-tr4,9.0,2350.0,0.07596875,30933.7721102427,
