name,acronym,count_left,count_right,count_total,volume (mm^3)_left,volume (mm^3)_right,volume_total (mm^3),density (cells/mm^3)_left,density (cells/mm^3)_right,density_total (cells/mm^3),RGB,parent_region
root,root,3057866.0,1902621.0,4960487.0,250.9855625,253.297921875,504.283484375,12183.433857873795,7511.396011132395,9847.414934503096,000000,
Basic cell groups and regions,grey,2831394.0,1726607.0,4558001.0,224.5929375,225.007921875,449.600859375,12606.781101476086,7673.538716379917,10140.159908928004,BFDAE3,root
Cerebrum,CH,2179357.0,1291307.0,3470664.0,137.89371875,137.983015625,275.876734375,15804.614015458916,9358.448894242303,12581.53145485061,B0F0FF,grey
Cerebral cortex,CTX,1991062.0,1139957.0,3131019.0,110.753453125,110.7961875,221.549640625,17977.42592958092,10288.77460246545,14133.100266023186,B0FFB8,CH
Cortical plate,CTXpl,1940489.0,1105420.0,3045909.0,106.300359375,106.3434375,212.643796875,18254.773656544847,10394.811621544584,14324.792639044716,70FF70,CTX
Isocortex,Isocortex,1062722.0,488868.0,1551590.0,61.627640625,61.67009375,123.297734375,17244.242830365536,7927.148643259522,12585.69573681253,70FF71,CTXpl
"Frontal pole, cerebral cortex",FRP,6409.0,2322.0,8731.0,0.4861875,0.486109375,0.972296875,13182.157089600203,4776.702773938479,8979.42993176934,268F44,Isocortex
"Frontal pole, layer 1",FRP1,2125.0,1069.0,3194.0,0.12675,0.126671875,0.253421875,16765.285996055227,8439.126680646355,12602.206338350792,268F45,FRP
"Frontal pole, layer 2/3",FRP2/3,1555.0,662.0,2217.0,0.11703125,0.117,0.23403125,13287.049399198931,5658.119658119658,9472.584528659296,268E45,FRP
"Frontal pole, layer 5",FRP5,2293.0,496.0,2789.0,0.185796875,0.18575,0.371546875,12341.43469851148,2670.255720053836,7505.845209282658,258F45,FRP
"Frontal pole, layer 6a",FRP6a,433.0,88.0,521.0,0.05609375,0.05615625,0.1122499999999999,7719.220055710307,1567.056204785754,4643.13813024803,268E44,FRP
"Frontal pole, layer 6b",FRP6b,3.0,7.0,10.0,0.000515625,0.00053125,0.001046875,5818.181818181818,13176.470588235294,9497.326203208557,258F44,FRP
Somatomotor areas,MO,126554.0,58520.0,185074.0,12.231046875,12.226390625,24.4574375,10346.947509348009,4786.367603889639,7566.657556618824,1F9C59,Isocortex
Primary motor area,MOp,64920.0,24696.0,89616.0,5.676734375,5.676359375,11.35309375,11436.152497447092,4350.675911882341,7893.414204664717,1E9B5A,MO
"Primary motor area, Layer 1",MOp1,2818.0,1684.0,4502.0,0.664609375,0.665328125,1.3299375,4240.084636181969,2531.081937953548,3385.583287067758,1E9D5A,MOp
"Primary motor area, Layer 2/3",MOp2/3,21163.0,6745.0,27908.0,1.8444375,1.844640625,3.689078125,11473.958862796924,3656.5387905842094,7565.248826690567,1F9C58,MOp
"Primary motor area, Layer 5",MOp5,23169.0,9873.0,33042.0,1.636203125,1.6365625,3.272765625,14160.222313473458,6032.766851250716,10096.494582362087,1E9C5A,MOp
"Primary motor area, Layer 6a",MOp6a,17066.0,6142.0,23208.0,1.437953125,1.438171875,2.876125,11868.258918384425,4270.699564334061,8069.479241359242,1F9B5A,MOp
"Primary motor area, Layer 6b",MOp6b,704.0,252.0,956.0,0.09353125,0.09165625,0.1851875,7526.896090878718,2749.403341288783,5138.14971608375,1D9D5A,MOp
Secondary motor area,MOs,61634.0,33824.0,95458.0,6.5543125,6.55003125,13.10434375,9403.579704202386,5163.944828507498,7283.762266354942,1D9D59,MO
"Secondary motor area, layer 1",MOs1,4072.0,4213.0,8285.0,1.1643125,1.159859375,2.324171875,3497.342852541736,3632.336894289448,3564.839873415592,1E9C59,MOs
"Secondary motor area, layer 2/3",MOs2/3,20571.0,11360.0,31931.0,1.901640625,1.902859375,3.8045,10817.50133519576,5969.962966916564,8393.732151056163,1E9D58,MOs
"Secondary motor area, layer 5",MOs5,23815.0,12153.0,35968.0,2.26159375,2.261203125,4.522796875,10530.18474250736,5374.5724413856005,7952.37859194648,1F9D58,MOs
"Secondary motor area, layer 6a",MOs6a,12923.0,5942.0,18865.0,1.189171875,1.188921875,2.37809375,10867.2264049299,4997.8052594919245,7932.515832210912,1D9C5A,MOs
"Secondary motor area, layer 6b",MOs6b,253.0,156.0,409.0,0.03759375,0.0371875,0.07478125,6729.842061512884,4194.957983193278,5462.400022353081,1E9C58,MOs
