name,count_left,count_right,count_total,volume (mm^3)_left,volume (mm^3)_right,volume_total (mm^3),density (cells/mm^3)_left,density (cells/mm^3)_right,density_total (cells/mm^3)
root,3057866.0,1902621.0,4960487.0,250.9855625,253.297921875,504.28348437499994,12183.433857873795,7511.396011132395,9847.414934503095
Basic cell groups and regions,2831394.0,1726607.0,4558001.0,224.5929375,225.007921875,449.600859375,12606.781101476086,7673.538716379917,10140.159908928003
Cerebrum,2179357.0,1291307.0,3470664.0,137.89371875,137.983015625,275.876734375,15804.614015458916,9358.448894242303,12581.53145485061
Cerebral cortex,1991062.0,1139957.0,3131019.0,110.753453125,110.7961875,221.549640625,17977.42592958092,10288.77460246545,14133.100266023186
Cortical plate,1940489.0,1105420.0,3045909.0,106.300359375,106.3434375,212.643796875,18254.773656544847,10394.811621544584,14324.792639044716
Isocortex,1062722.0,488868.0,1551590.0,61.627640625,61.67009375,123.297734375,17244.242830365536,7927.148643259522,12585.69573681253
"Frontal pole, cerebral cortex",6409.0,2322.0,8731.0,0.4861875,0.486109375,0.9722968750000001,13182.157089600203,4776.702773938479,8979.42993176934
"Frontal pole, layer 1",2125.0,1069.0,3194.0,0.12675,0.126671875,0.253421875,16765.285996055227,8439.126680646355,12602.206338350792
"Frontal pole, layer 2/3",1555.0,662.0,2217.0,0.11703125,0.117,0.23403125000000002,13287.049399198931,5658.119658119658,9472.584528659296
"Frontal pole, layer 5",2293.0,496.0,2789.0,0.185796875,0.18575,0.371546875,12341.43469851148,2670.255720053836,7505.845209282658
"Frontal pole, layer 6a",433.0,88.0,521.0,0.05609375,0.05615625,0.11224999999999999,7719.220055710307,1567.056204785754,4643.13813024803
"Frontal pole, layer 6b",3.0,7.0,10.0,0.000515625,0.00053125,0.001046875,5818.181818181818,13176.470588235294,9497.326203208555
Somatomotor areas,126554.0,58520.0,185074.0,12.231046875,12.226390625,24.4574375,10346.947509348009,4786.367603889639,7566.657556618824
Primary motor area,64920.0,24696.0,89616.0,5.676734375,5.676359375,11.35309375,11436.152497447092,4350.675911882341,7893.414204664717
"Primary motor area, Layer 1",2818.0,1684.0,4502.0,0.664609375,0.665328125,1.3299375,4240.084636181969,2531.081937953548,3385.583287067758
"Primary motor area, Layer 2/3",21163.0,6745.0,27908.0,1.8444375,1.844640625,3.689078125,11473.958862796924,3656.5387905842094,7565.248826690567
"Primary motor area, Layer 5",23169.0,9873.0,33042.0,1.636203125,1.6365625,3.272765625,14160.222313473458,6032.766851250716,10096.494582362087
"Primary motor area, Layer 6a",17066.0,6142.0,23208.0,1.437953125,1.438171875,2.876125,11868.258918384425,4270.699564334061,8069.479241359242
"Primary motor area, Layer 6b",704.0,252.0,956.0,0.09353125,0.09165625,0.1851875,7526.896090878718,2749.403341288783,5138.14971608375
Secondary motor area,61634.0,33824.0,95458.0,6.5543125,6.55003125,13.10434375,9403.579704202386,5163.944828507498,7283.762266354942
"Secondary motor area, layer 1",4072.0,4213.0,8285.0,1.1643125,1.159859375,2.324171875,3497.342852541736,3632.336894289448,3564.839873415592
"Secondary motor area, layer 2/3",20571.0,11360.0,31931.0,1.901640625,1.902859375,3.8045,10817.50133519576,5969.962966916564,8393.732151056163
"Secondary motor area, layer 5",23815.0,12153.0,35968.0,2.26159375,2.261203125,4.522796875,10530.18474250736,5374.5724413856005,7952.37859194648
"Secondary motor area, layer 6a",12923.0,5942.0,18865.0,1.189171875,1.188921875,2.3780937499999997,10867.2264049299,4997.8052594919245,7932.515832210912
"Secondary motor area, layer 6b",253.0,156.0,409.0,0.03759375,0.0371875,0.07478125,6729.842061512884,4194.957983193278,5462.400022353081
Somatosensory areas,277890.0,86033.0,363923.0,16.666171875,16.666015625,33.3321875,16673.895006257997,5162.181647720614,10918.038326989306
Primary somatosensory area,198865.0,62100.0,260965.0,12.1535,12.1554375,24.3089375,16362.776155017074,5108.824754353762,10735.800454685417
"Primary somatosensory area, nose",21518.0,5123.0,26641.0,1.509703125,1.5095625,3.019265625,14253.133376802143,3393.698505361653,8823.415941081897
"Primary somatosensory area, nose, layer 1",3390.0,394.0,3784.0,0.2028125,0.202515625,0.40532812500000004,16714.946070878275,1945.528894375434,9330.237482626855
"Primary somatosensory area, nose, layer 2/3",3555.0,543.0,4098.0,0.3201875,0.32015625,0.64034375,11102.86941245364,1696.046852122987,6399.458132288313
"Primary somatosensory area, nose, layer 4",3858.0,225.0,4083.0,0.274109375,0.273953125,0.5480625,14074.673659009291,821.3083898933439,7447.991024451318
"Primary somatosensory area, nose, layer 5",4749.0,1945.0,6694.0,0.283515625,0.283515625,0.56703125,16750.39955910719,6860.2920914852575,11805.345825296225
"Primary somatosensory area, nose, layer 6a",5736.0,1881.0,7617.0,0.402328125,0.402546875,0.804875,14257.019690085051,4672.74773900555,9464.8837145453
"Primary somatosensory area, nose, layer 6b",230.0,135.0,365.0,0.02675,0.026875,0.053625,8598.130841121496,5023.2558139534885,6810.693327537492
"Primary somatosensory area, barrel field",57616.0,17815.0,75431.0,3.145734375,3.144515625,6.29025,18315.596020404617,5665.4194555004005,11990.507737952508
"Primary somatosensory area, barrel field, layer 1",6920.0,2164.0,9084.0,0.419375,0.41946875,0.83884375,16500.745156482863,5158.906354764211,10829.825755623537
"Primary somatosensory area, barrel field, layer 2/3",9030.0,3138.0,12168.0,0.75821875,0.75809375,1.5163125000000002,11909.491818818777,4139.32973329486,8024.410776056819
"Primary somatosensory area, barrel field, layer 4",12936.0,1946.0,14882.0,0.641265625,0.641375,1.282640625,20172.607879924955,3034.106412005457,11603.357145965207
"Primary somatosensory area, barrel field, layer 5",13891.0,5023.0,18914.0,0.603984375,0.6041875,1.2081718750000001,22998.939335144223,8313.644357091134,15656.291846117678
"Primary somatosensory area, barrel field, layer 6a",13451.0,4973.0,18424.0,0.648828125,0.64875,1.297578125,20731.22215532812,7665.510597302504,14198.366376315313
"Primary somatosensory area, barrel field, layer 6b",1388.0,571.0,1959.0,0.0740625,0.072640625,0.146703125,18740.928270042197,7860.615186061518,13300.771728051857
"Primary somatosensory area, lower limb",21369.0,9910.0,31279.0,1.176484375,1.17609375,2.352578125,18163.43714722093,8426.199016872593,13294.818082046762
"Primary somatosensory area, lower limb, layer 1",2792.0,782.0,3574.0,0.149265625,0.14996875,0.29923437500000005,18704.909452528,5214.419670764743,11959.664561646372
"Primary somatosensory area, lower limb, layer 2/3",4154.0,2394.0,6548.0,0.32325,0.32334375,0.64659375,12850.734725444703,7403.885184111337,10127.30995477802
"Primary somatosensory area, lower limb, layer 4",4098.0,1673.0,5771.0,0.1366875,0.13634375,0.27303125,29980.79561042524,12270.45610818244,21125.62585930384
"Primary somatosensory area, lower limb, layer 5",6382.0,2916.0,9298.0,0.278,0.2776875,0.5556875,22956.834532374098,10501.012829169482,16728.92368077179
"Primary somatosensory area, lower limb, layer 6a",3605.0,1966.0,5571.0,0.263890625,0.26378125,0.527671875,13660.962756823968,7453.145361923942,10557.054059373955
"Primary somatosensory area, lower limb, layer 6b",338.0,179.0,517.0,0.025390625,0.02496875,0.050359375,13312.0,7168.9612015018765,10240.480600750938
"Primary somatosensory area, mouth",46128.0,7573.0,53701.0,3.105328125,3.1075,6.212828125,14854.468881609731,2437.007240547064,8645.738061078398
"Primary somatosensory area, mouth, layer 1",9075.0,559.0,9634.0,0.3904375,0.39221875,0.78265625,23243.156715223307,1425.2250816667995,12334.190898445053
"Primary somatosensory area, mouth, layer 2/3",7948.0,892.0,8840.0,0.7490625,0.749703125,1.4987656249999999,10610.596579057155,1189.8042975344406,5900.200438295798
"Primary somatosensory area, mouth, layer 4",7500.0,548.0,8048.0,0.4736875,0.473421875,0.9471093749999999,15833.223380393192,1157.5299514835474,8495.37666593837
"Primary somatosensory area, mouth, layer 5",8664.0,2776.0,11440.0,0.60871875,0.60925,1.2179687499999998,14233.174187586632,4556.421830118999,9394.798008852817
"Primary somatosensory area, mouth, layer 6a",12510.0,2654.0,15164.0,0.82609375,0.8255625,1.6516562499999998,15143.559674673728,3214.777803013097,9179.168738843413
"Primary somatosensory area, mouth, layer 6b",431.0,144.0,575.0,0.057328125,0.05734375,0.114671875,7518.124829653857,2511.171662125341,5014.648245889599
"Primary somatosensory area, upper limb",29558.0,9239.0,38797.0,1.88471875,1.88615625,3.770875,15682.976571438046,4898.321652832315,10290.649112135181
"Primary somatosensory area, upper limb, layer 1",5334.0,811.0,6145.0,0.230640625,0.231265625,0.46190624999999996,23126.88842219362,3506.790081751233,13316.839251972428
"Primary somatosensory area, upper limb, layer 2/3",6708.0,2140.0,8848.0,0.4891875,0.48934375,0.9785312500000001,13712.533537753929,4373.203908295549,9042.868723024738
"Primary somatosensory area, upper limb, layer 4",5249.0,1128.0,6377.0,0.261640625,0.261640625,0.52328125,20061.869214690956,4311.257091669155,12186.563153180055
"Primary somatosensory area, upper limb, layer 5",6085.0,2711.0,8796.0,0.395625,0.3961875,0.7918125,15380.726698262242,6842.719671872535,11111.723185067389
"Primary somatosensory area, upper limb, layer 6a",5898.0,2241.0,8139.0,0.470546875,0.47053125,0.941078125,12534.351652000663,4762.701733413031,8648.526692706848
"Primary somatosensory area, upper limb, layer 6b",284.0,208.0,492.0,0.037078125,0.0371875,0.074265625,7659.502739148756,5593.27731092437,6626.390025036562
"Primary somatosensory area, trunk",14310.0,8069.0,22379.0,0.700375,0.700359375,1.4007343749999999,20431.911475995003,11521.227941012428,15976.569708503715
"Primary somatosensory area, trunk, layer 1",1537.0,555.0,2092.0,0.10228125,0.102109375,0.204390625,15027.192178429576,5435.348125478195,10231.270151953886
"Primary somatosensory area, trunk, layer 2/3",3320.0,2010.0,5330.0,0.21225,0.211515625,0.42376562500000003,15641.931684334511,9502.844057028884,12572.387870681698
"Primary somatosensory area, trunk, layer 4",2350.0,1235.0,3585.0,0.07596875,0.076625,0.15259375,30933.7721102427,16117.455138662315,23525.613624452508
"Primary somatosensory area, trunk, layer 5",4172.0,2599.0,6771.0,0.17646875,0.176765625,0.353234375,23641.579599787496,14703.0849465217,19172.3322731546
"Primary somatosensory area, trunk, layer 6a",2491.0,1401.0,3892.0,0.11621875,0.116234375,0.23245312499999998,21433.718741597204,12053.232961419546,16743.475851508374
"Primary somatosensory area, trunk, layer 6b",440.0,269.0,709.0,0.0171875,0.017109375,0.034296875000000004,25600.0,15722.374429223744,20661.187214611873
