id,name,acronym,parent_structure_id,depth,count,volume (mm^3),density (cells/mm^3)
10000,root,root,-1.0,0.0,1902621.0,253.297921875,7511.396011132395
10001,Basic cell groups and regions,grey,10000.0,1.0,1726607.0,225.007921875,7673.538716379917
10002,Cerebrum,CH,10001.0,2.0,1291307.0,137.983015625,9358.448894242303
10003,Cerebral cortex,CTX,10002.0,3.0,1139957.0,110.7961875,10288.77460246545
10004,Cortical plate,CTXpl,10003.0,4.0,1105420.0,106.3434375,10394.811621544584
10005,Isocortex,Isocortex,10004.0,5.0,488868.0,61.67009375,7927.148643259522
10006,"Frontal pole, cerebral cortex",FRP,10005.0,6.0,2322.0,0.486109375,4776.702773938479
10007,"Frontal pole, layer 1",FRP1,10006.0,7.0,1069.0,0.126671875,8439.126680646355
10008,"Frontal pole, layer 2/3",FRP2/3,10006.0,7.0,662.0,0.117,5658.119658119658
10009,"Frontal pole, layer 5",FRP5,10006.0,7.0,496.0,0.18575,2670.255720053836
10010,"Frontal pole, layer 6a",FRP6a,10006.0,7.0,88.0,0.05615625,1567.056204785754
10011,"Frontal pole, layer 6b",FRP6b,10006.0,7.0,7.0,0.00053125,13176.470588235294
10012,Somatomotor areas,MO,10005.0,6.0,58520.0,12.226390625,4786.367603889639
10018,Primary motor area,MOp,10012.0,7.0,24696.0,5.676359375,4350.675911882341
10019,"Primary motor area, Layer 1",MOp1,10018.0,8.0,1684.0,0.665328125,2531.081937953548
10020,"Primary motor area, Layer 2/3",MOp2/3,10018.0,8.0,6745.0,1.844640625,3656.5387905842094
10021,"Primary motor area, Layer 5",MOp5,10018.0,8.0,9873.0,1.6365625,6032.766851250716
10022,"Primary motor area, Layer 6a",MOp6a,10018.0,8.0,6142.0,1.438171875,4270.699564334061
10023,"Primary motor area, Layer 6b",MOp6b,10018.0,8.0,252.0,0.09165625,2749.403341288783
10024,Secondary motor area,MOs,10012.0,7.0,33824.0,6.55003125,5163.944828507498
10025,"Secondary motor area, layer 1",MOs1,10024.0,8.0,4213.0,1.159859375,3632.336894289448
10026,"Secondary motor area, layer 2/3",MOs2/3,10024.0,8.0,11360.0,1.902859375,5969.962966916564
10027,"Secondary motor area, layer 5",MOs5,10024.0,8.0,12153.0,2.261203125,5374.5724413856005
10028,"Secondary motor area, layer 6a",MOs6a,10024.0,8.0,5942.0,1.188921875,4997.8052594919245
10029,"Secondary motor area, layer 6b",MOs6b,10024.0,8.0,156.0,0.0371875,4194.957983193278
10030,Somatosensory areas,SS,10005.0,6.0,86033.0,16.666015625,5162.181647720614
10037,Primary somatosensory area,SSp,10030.0,7.0,62100.0,12.1554375,5108.824754353762
10044,"Primary somatosensory area, nose",SSp-n,10037.0,8.0,5123.0,1.5095625,3393.698505361653
10045,"Primary somatosensory area, nose, layer 1",SSp-n1,10044.0,9.0,394.0,0.202515625,1945.528894375434
10046,"Primary somatosensory area, nose, layer 2/3",SSp-n2/3,10044.0,9.0,543.0,0.32015625,1696.046852122987
10047,"Primary somatosensory area, nose, layer 4",SSp-n4,10044.0,9.0,225.0,0.273953125,821.3083898933439
10048,"Primary somatosensory area, nose, layer 5",SSp-n5,10044.0,9.0,1945.0,0.283515625,6860.2920914852575
10049,"Primary somatosensory area, nose, layer 6a",SSp-n6a,10044.0,9.0,1881.0,0.402546875,4672.74773900555
10050,"Primary somatosensory area, nose, layer 6b",SSp-n6b,10044.0,9.0,135.0,0.026875,5023.2558139534885
10051,"Primary somatosensory area, barrel field",SSp-bfd,10037.0,8.0,17815.0,3.144515625,5665.4194555004005
10052,"Primary somatosensory area, barrel field, layer 1",SSp-bfd1,10051.0,9.0,2164.0,0.41946875,5158.906354764211
10053,"Primary somatosensory area, barrel field, layer 2/3",SSp-bfd2/3,10051.0,9.0,3138.0,0.75809375,4139.32973329486
10054,"Primary somatosensory area, barrel field, layer 4",SSp-bfd4,10051.0,9.0,1946.0,0.641375,3034.106412005457
10055,"Primary somatosensory area, barrel field, layer 5",SSp-bfd5,10051.0,9.0,5023.0,0.6041875,8313.644357091134
10056,"Primary somatosensory area, barrel field, layer 6a",SSp-bfd6a,10051.0,9.0,4973.0,0.64875,7665.510597302504
10057,"Primary somatosensory area, barrel field, layer 6b",SSp-bfd6b,10051.0,9.0,571.0,0.072640625,7860.615186061518
10065,"Primary somatosensory area, lower limb",SSp-ll,10037.0,8.0,9910.0,1.17609375,8426.199016872593
10066,"Primary somatosensory area, lower limb, layer 1",SSp-ll1,10065.0,9.0,782.0,0.14996875,5214.419670764743
10067,"Primary somatosensory area, lower limb, layer 2/3",SSp-ll2/3,10065.0,9.0,2394.0,0.32334375,7403.885184111337
10068,"Primary somatosensory area, lower limb, layer 4",SSp-ll4,10065.0,9.0,1673.0,0.13634375,12270.45610818244
10069,"Primary somatosensory area, lower limb, layer 5",SSp-ll5,10065.0,9.0,2916.0,0.2776875,10501.012829169482
10070,"Primary somatosensory area, lower limb, layer 6a",SSp-ll6a,10065.0,9.0,1966.0,0.26378125,7453.145361923942
10071,"Primary somatosensory area, lower limb, layer 6b",SSp-ll6b,10065.0,9.0,179.0,0.02496875,7168.9612015018765
10072,"Primary somatosensory area, mouth",SSp-m,10037.0,8.0,7573.0,3.1075,2437.007240547064
10073,"Primary somatosensory area, mouth, layer 1",SSp-m1,10072.0,9.0,559.0,0.39221875,1425.2250816667995
10074,"Primary somatosensory area, mouth, layer 2/3",SSp-m2/3,10072.0,9.0,892.0,0.749703125,1189.8042975344406
10075,"Primary somatosensory area, mouth, layer 4",SSp-m4,10072.0,9.0,548.0,0.473421875,1157.5299514835474
10076,"Primary somatosensory area, mouth, layer 5",SSp-m5,10072.0,9.0,2776.0,0.60925,4556.421830118999
10077,"Primary somatosensory area, mouth, layer 6a",SSp-m6a,10072.0,9.0,2654.0,0.8255625,3214.777803013097
10078,"Primary somatosensory area, mouth, layer 6b",SSp-m6b,10072.0,9.0,144.0,0.05734375,2511.171662125341
10079,"Primary somatosensory area, upper limb",SSp-ul,10037.0,8.0,9239.0,1.88615625,4898.321652832315
10080,"Primary somatosensory area, upper limb, layer 1",SSp-ul1,10079.0,9.0,811.0,0.231265625,3506.790081751233
10081,"Primary somatosensory area, upper limb, layer 2/3",SSp-ul2/3,10079.0,9.0,2140.0,0.48934375,4373.203908295549
10082,"Primary somatosensory area, upper limb, layer 4",SSp-ul4,10079.0,9.0,1128.0,0.261640625,4311.257091669155
10083,"Primary somatosensory area, upper limb, layer 5",SSp-ul5,10079.0,9.0,2711.0,0.3961875,6842.719671872535
10084,"Primary somatosensory area, upper limb, layer 6a",SSp-ul6a,10079.0,9.0,2241.0,0.47053125,4762.701733413031
10085,"Primary somatosensory area, upper limb, layer 6b",SSp-ul6b,10079.0,9.0,208.0,0.0371875,5593.27731092437
10086,"Primary somatosensory area, trunk",SSp-tr,10037.0,8.0,8069.0,0.700359375,11521.227941012428
10087,"Primary somatosensory area, trunk, layer 1",SSp-tr1,10086.0,9.0,555.0,0.102109375,5435.348125478195
10088,"Primary somatosensory area, trunk, layer 2/3",SSp-tr2/3,10086.0,9.0,2010.0,0.211515625,9502.844057028884
10089,"Primary somatosensory area, trunk, layer 4",SSp-tr4,10086.0,9.0,1235.0,0.076625,16117.455138662315
10090,"Primary somatosensory area, trunk, layer 5",SSp-tr5,10086.0,9.0,2599.0,0.176765625,14703.0849465217
10091,"Primary somatosensory area, trunk, layer 6a",SSp-tr6a,10086.0,9.0,1401.0,0.116234375,12053.232961419546
10092,"Primary somatosensory area, trunk, layer 6b",SSp-tr6b,10086.0,9.0,269.0,0.017109375,15722.374429223744
10093,"Primary somatosensory area, unassigned",SSp-un,10037.0,8.0,4371.0,0.63125,6924.3564356435645
10094,"Primary somatosensory area, unassigned, layer 1",SSp-un1,10093.0,9.0,317.0,0.083015625,3818.5582533408624
10095,"Primary somatosensory area, unassigned, layer 2/3",SSp-un2/3,10093.0,9.0,969.0,0.1659375,5839.54802259887
10096,"Primary somatosensory area, unassigned, layer 4",SSp-un4,10093.0,9.0,646.0,0.093875,6881.491344873502
10097,"Primary somatosensory area, unassigned, layer 5",SSp-un5,10093.0,9.0,1418.0,0.1288125,11008.248423095583
10098,"Primary somatosensory area, unassigned, layer 6a",SSp-un6a,10093.0,9.0,958.0,0.147421875,6498.357180710122
10099,"Primary somatosensory area, unassigned, layer 6b",SSp-un6b,10093.0,9.0,63.0,0.0121875,5169.230769230769
10100,Supplemental somatosensory area,SSs,10030.0,7.0,23933.0,4.510578125,5305.971726185321
10101,"Supplemental somatosensory area, layer 1",SSs1,10100.0,8.0,2128.0,0.623453125,3413.2477882759827
10102,"Supplemental somatosensory area, layer 2/3",SSs2/3,10100.0,8.0,5440.0,1.07234375,5073.000145708874
10103,"Supplemental somatosensory area, layer 4",SSs4,10100.0,8.0,2839.0,0.58265625,4872.512737999464
10104,"Supplemental somatosensory area, layer 5",SSs5,10100.0,8.0,6667.0,1.09278125,6100.946552660928
10105,"Supplemental somatosensory area, layer 6a",SSs6a,10100.0,8.0,6258.0,1.03634375,6038.536923680005
10106,"Supplemental somatosensory area, layer 6b",SSs6b,10100.0,8.0,601.0,0.103,5834.95145631068
10107,Gustatory areas,GU,10005.0,6.0,5988.0,0.883828125,6775.072924953593
10108,"Gustatory areas, layer 1",GU1,10107.0,7.0,620.0,0.098875,6270.543615676359
10109,"Gustatory areas, layer 2/3",GU2/3,10107.0,7.0,1023.0,0.201015625,5089.156626506024
10110,"Gustatory areas, layer 4",GU4,10107.0,7.0,643.0,0.073796875,8713.1060766462
10111,"Gustatory areas, layer 5",GU5,10107.0,7.0,2427.0,0.272171875,8917.159423617888
10112,"Gustatory areas, layer 6a",GU6a,10107.0,7.0,1271.0,0.2186875,5811.946270362961
10113,"Gustatory areas, layer 6b",GU6b,10107.0,7.0,4.0,0.01928125,207.45542949756887
10114,Visceral area,VISC,10005.0,6.0,6971.0,1.17634375,5925.988895677815
10115,"Visceral area, layer 1",VISC1,10114.0,7.0,506.0,0.16690625,3031.642014604007
10116,"Visceral area, layer 2/3",VISC2/3,10114.0,7.0,1193.0,0.271078125,4400.94529944089
10117,"Visceral area, layer 4",VISC4,10114.0,7.0,609.0,0.091109375,6684.273709483793
10118,"Visceral area, layer 5",VISC5,10114.0,7.0,2681.0,0.35278125,7599.610240056692
10119,"Visceral area, layer 6a",VISC6a,10114.0,7.0,1935.0,0.269078125,7191.2200220660825
10120,"Visceral area, layer 6b",VISC6b,10114.0,7.0,47.0,0.025390625,1851.076923076923
10121,Auditory areas,AUD,10005.0,6.0,48394.0,2.89728125,16703.245499552384
10122,Dorsal auditory area,AUDd,10121.0,7.0,8193.0,0.60696875,13498.223755341607
10123,"Dorsal auditory area, layer 1",AUDd1,10122.0,8.0,620.0,0.09871875,6280.4685026907255
10124,"Dorsal auditory area, layer 2/3",AUDd2/3,10122.0,8.0,2253.0,0.163453125,13783.768282190997
10125,"Dorsal auditory area, layer 4",AUDd4,10122.0,8.0,1331.0,0.066390625,20048.011296775712
10126,"Dorsal auditory area, layer 5",AUDd5,10122.0,8.0,2309.0,0.17121875,13485.67256798686
10127,"Dorsal auditory area, layer 6a",AUDd6a,10122.0,8.0,1354.0,0.092140625,14694.92962523317
10128,"Dorsal auditory area, layer 6b",AUDd6b,10122.0,8.0,326.0,0.015046875,21665.6282450675
10136,Primary auditory area,AUDp,10121.0,7.0,20025.0,1.07509375,18626.28259163445
10137,"Primary auditory area, layer 1",AUDp1,10136.0,8.0,947.0,0.1886875,5018.880423981451
10138,"Primary auditory area, layer 2/3",AUDp2/3,10136.0,8.0,4241.0,0.23571875,17991.780458703433
10139,"Primary auditory area, layer 4",AUDp4,10136.0,8.0,3560.0,0.117359375,30334.17654107309
10140,"Primary auditory area, layer 5",AUDp5,10136.0,8.0,7305.0,0.35709375,20456.812811761614
10141,"Primary auditory area, layer 6a",AUDp6a,10136.0,8.0,3302.0,0.14903125,22156.426923883413
10142,"Primary auditory area, layer 6b",AUDp6b,10136.0,8.0,670.0,0.027203125,24629.523262492818
10143,Posterior auditory area,AUDpo,10121.0,7.0,4369.0,0.3053125,14309.92835209826
10144,"Posterior auditory area, layer 1",AUDpo1,10143.0,8.0,442.0,0.056125,7875.278396436525
10145,"Posterior auditory area, layer 2/3",AUDpo2/3,10143.0,8.0,1461.0,0.07325,19945.392491467577
10146,"Posterior auditory area, layer 4",AUDpo4,10143.0,8.0,580.0,0.0371875,15596.638655462186
10147,"Posterior auditory area, layer 5",AUDpo5,10143.0,8.0,963.0,0.090703125,10617.054263565891
10148,"Posterior auditory area, layer 6a",AUDpo6a,10143.0,8.0,718.0,0.0393125,18263.910969793324
10149,"Posterior auditory area, layer 6b",AUDpo6b,10143.0,8.0,205.0,0.008734375,23470.483005366725
10150,Ventral auditory area,AUDv,10121.0,7.0,15807.0,0.90990625,17372.119380430675
10151,"Ventral auditory area, layer 1",AUDv1,10150.0,8.0,746.0,0.14425,5171.5771230502605
10152,"Ventral auditory area, layer 2/3",AUDv2/3,10150.0,8.0,2731.0,0.1919375,14228.59003581895
10153,"Ventral auditory area, layer 4",AUDv4,10150.0,8.0,2785.0,0.107203125,25978.720303162805
10154,"Ventral auditory area, layer 5",AUDv5,10150.0,8.0,5741.0,0.302015625,19008.950281959747
10155,"Ventral auditory area, layer 6a",AUDv6a,10150.0,8.0,3441.0,0.141203125,24369.149053889563
10156,"Ventral auditory area, layer 6b",AUDv6b,10150.0,8.0,363.0,0.023296875,15581.48893360161
10157,Visual areas,VIS,10005.0,6.0,63612.0,6.726890625,9456.374950350852
10164,Anterolateral visual area,VISal,10157.0,7.0,4575.0,0.377265625,12126.73431352247
10165,"Anterolateral visual area, layer 1",VISal1,10164.0,8.0,238.0,0.058296875,4082.551594746717
